park_id,park,community,year,month,visits,unit,status,source_url,retrieved_utc
fort,Fort Verde State Historic Park,Camp Verde,2025,5,619,park visits,reported,https://in.nau.edu/wp-content/uploads/sites/212/State-Parks-2025-2.pdf,2026-09-22
fort,Fort Verde State Historic Park,Camp Verde,2025,6,649,park visits,reported,https://in.nau.edu/wp-content/uploads/sites/212/State-Parks-2025-2.pdf,2026-09-22
fort,Fort Verde State Historic Park,Camp Verde,2025,7,418,park visits,reported,https://in.nau.edu/wp-content/uploads/sites/212/State-Parks-2025-2.pdf,2026-09-22
fort,Fort Verde State Historic Park,Camp Verde,2025,8,342,park visits,reported,https://in.nau.edu/wp-content/uploads/sites/212/State-Parks-2025-2.pdf,2026-09-22
fort,Fort Verde State Historic Park,Camp Verde,2025,9,524,park visits,reported,https://in.nau.edu/wp-content/uploads/sites/212/State-Parks-2025-2.pdf,2026-09-22
fort,Fort Verde State Historic Park,Camp Verde,2025,10,1461,park visits,reported,https://in.nau.edu/wp-content/uploads/sites/212/State-Parks-2025-2.pdf,2026-09-22
fort,Fort Verde State Historic Park,Camp Verde,2025,11,674,park visits,reported,https://in.nau.edu/wp-content/uploads/sites/212/State-Parks-2025-2.pdf,2026-09-22
fort,Fort Verde State Historic Park,Camp Verde,2025,12,589,park visits,reported,https://in.nau.edu/wp-content/uploads/sites/212/State-Parks-2025-2.pdf,2026-09-22
rockin,Rockin' River Ranch State Park,Camp Verde,2024,1,0,park visits,not yet open,https://in.nau.edu/wp-content/uploads/sites/212/State-Parks-2024-1.pdf,2026-09-22
rockin,Rockin' River Ranch State Park,Camp Verde,2024,2,1146,park visits,reported,https://in.nau.edu/wp-content/uploads/sites/212/State-Parks-2024-1.pdf,2026-09-22
rockin,Rockin' River Ranch State Park,Camp Verde,2024,3,1016,park visits,reported,https://in.nau.edu/wp-content/uploads/sites/212/State-Parks-2024-1.pdf,2026-09-22
rockin,Rockin' River Ranch State Park,Camp Verde,2024,4,635,park visits,reported,https://in.nau.edu/wp-content/uploads/sites/212/State-Parks-2024-1.pdf,2026-09-22
rockin,Rockin' River Ranch State Park,Camp Verde,2024,5,476,park visits,reported,https://in.nau.edu/wp-content/uploads/sites/212/State-Parks-2024-1.pdf,2026-09-22
rockin,Rockin' River Ranch State Park,Camp Verde,2024,6,234,park visits,reported,https://in.nau.edu/wp-content/uploads/sites/212/State-Parks-2024-1.pdf,2026-09-22
rockin,Rockin' River Ranch State Park,Camp Verde,2024,7,134,park visits,reported,https://in.nau.edu/wp-content/uploads/sites/212/State-Parks-2024-1.pdf,2026-09-22
rockin,Rockin' River Ranch State Park,Camp Verde,2024,8,245,park visits,reported,https://in.nau.edu/wp-content/uploads/sites/212/State-Parks-2024-1.pdf,2026-09-22
rockin,Rockin' River Ranch State Park,Camp Verde,2024,9,371,park visits,reported,https://in.nau.edu/wp-content/uploads/sites/212/State-Parks-2024-1.pdf,2026-09-22
rockin,Rockin' River Ranch State Park,Camp Verde,2024,10,569,park visits,reported,https://in.nau.edu/wp-content/uploads/sites/212/State-Parks-2024-1.pdf,2026-09-22
rockin,Rockin' River Ranch State Park,Camp Verde,2024,11,931,park visits,reported,https://in.nau.edu/wp-content/uploads/sites/212/State-Parks-2024-1.pdf,2026-09-22
rockin,Rockin' River Ranch State Park,Camp Verde,2024,12,672,park visits,reported,https://in.nau.edu/wp-content/uploads/sites/212/State-Parks-2024-1.pdf,2026-09-22
rockin,Rockin' River Ranch State Park,Camp Verde,2025,1,786,park visits,reported,https://in.nau.edu/wp-content/uploads/sites/212/State-Parks-2025-2.pdf,2026-09-22
rockin,Rockin' River Ranch State Park,Camp Verde,2025,2,813,park visits,reported,https://in.nau.edu/wp-content/uploads/sites/212/State-Parks-2025-2.pdf,2026-09-22
rockin,Rockin' River Ranch State Park,Camp Verde,2025,3,761,park visits,reported,https://in.nau.edu/wp-content/uploads/sites/212/State-Parks-2025-2.pdf,2026-09-22
rockin,Rockin' River Ranch State Park,Camp Verde,2025,4,516,park visits,reported,https://in.nau.edu/wp-content/uploads/sites/212/State-Parks-2025-2.pdf,2026-09-22
rockin,Rockin' River Ranch State Park,Camp Verde,2025,5,486,park visits,reported,https://in.nau.edu/wp-content/uploads/sites/212/State-Parks-2025-2.pdf,2026-09-22
rockin,Rockin' River Ranch State Park,Camp Verde,2025,6,331,park visits,reported,https://in.nau.edu/wp-content/uploads/sites/212/State-Parks-2025-2.pdf,2026-09-22
rockin,Rockin' River Ranch State Park,Camp Verde,2025,7,214,park visits,reported,https://in.nau.edu/wp-content/uploads/sites/212/State-Parks-2025-2.pdf,2026-09-22
rockin,Rockin' River Ranch State Park,Camp Verde,2025,8,234,park visits,reported,https://in.nau.edu/wp-content/uploads/sites/212/State-Parks-2025-2.pdf,2026-09-22
rockin,Rockin' River Ranch State Park,Camp Verde,2025,9,340,park visits,reported,https://in.nau.edu/wp-content/uploads/sites/212/State-Parks-2025-2.pdf,2026-09-22
rockin,Rockin' River Ranch State Park,Camp Verde,2025,10,472,park visits,reported,https://in.nau.edu/wp-content/uploads/sites/212/State-Parks-2025-2.pdf,2026-09-22
rockin,Rockin' River Ranch State Park,Camp Verde,2025,11,418,park visits,reported,https://in.nau.edu/wp-content/uploads/sites/212/State-Parks-2025-2.pdf,2026-09-22
rockin,Rockin' River Ranch State Park,Camp Verde,2025,12,301,park visits,reported,https://in.nau.edu/wp-content/uploads/sites/212/State-Parks-2025-2.pdf,2026-09-22
